sample	fqfile	newid	accession	popid3	newfilename
A2054	20200302.X-A2054_R2.fastq.gz	GOS_011_z	GOS1.1	GOS_	20200302.X-GOS_011_z_R2.fastq.gz
A2054	20200302.X-A2054_R1.fastq.gz	GOS_011_z	GOS1.1	GOS_	20200302.X-GOS_011_z_R1.fastq.gz
A2018	20200302.X-A2018_R2.fastq.gz	SZI_023_z	SZ23	SZI_	20200302.X-SZI_023_z_R2.fastq.gz
A2018	20200302.X-A2018_R1.fastq.gz	SZI_023_z	SZ23	SZI_	20200302.X-SZI_023_z_R1.fastq.gz
A2017	20200302.X-A2017_R2.fastq.gz	SZI_022_z	SZ22	SZI_	20200302.X-SZI_022_z_R2.fastq.gz
A2017	20200302.X-A2017_R1.fastq.gz	SZI_022_z	SZ22	SZI_	20200302.X-SZI_022_z_R1.fastq.gz
A2010	20200302.X-A2010_R2.fastq.gz	SZI_006_z	SZ6	SZI_	20200302.X-SZI_006_z_R2.fastq.gz
A2010	20200302.X-A2010_R1.fastq.gz	SZI_006_z	SZ6	SZI_	20200302.X-SZI_006_z_R1.fastq.gz
A0263	20200302.X-A0263_R2.fastq.gz	GOS_024_z	GOS2.4	GOS_	20200302.X-GOS_024_z_R2.fastq.gz
A0263	20200302.X-A0263_R1.fastq.gz	GOS_024_z	GOS2.4	GOS_	20200302.X-GOS_024_z_R1.fastq.gz
A0261	20200302.X-A0261_R2.fastq.gz	GOS_022_z	GOS2.2	GOS_	20200302.X-GOS_022_z_R2.fastq.gz
A0261	20200302.X-A0261_R1.fastq.gz	GOS_022_z	GOS2.2	GOS_	20200302.X-GOS_022_z_R1.fastq.gz
A0260	20200302.X-A0260_R2.fastq.gz	GOS_021_z	GOS2.1	GOS_	20200302.X-GOS_021_z_R2.fastq.gz
A0260	20200302.X-A0260_R1.fastq.gz	GOS_021_z	GOS2.1	GOS_	20200302.X-GOS_021_z_R1.fastq.gz
A0259	20200302.X-A0259_R2.fastq.gz	GOS_016_z	GOS1.6	GOS_	20200302.X-GOS_016_z_R2.fastq.gz
A0259	20200302.X-A0259_R1.fastq.gz	GOS_016_z	GOS1.6	GOS_	20200302.X-GOS_016_z_R1.fastq.gz
A0252	20200302.X-A0252_R2.fastq.gz	MOS_034_z	MOS3.4	MOS_	20200302.X-MOS_034_z_R2.fastq.gz
A0252	20200302.X-A0252_R1.fastq.gz	MOS_034_z	MOS3.4	MOS_	20200302.X-MOS_034_z_R1.fastq.gz
A0247	20200302.X-A0247_R2.fastq.gz	MOS_024_z	MOS2.4	MOS_	20200302.X-MOS_024_z_R2.fastq.gz
A0247	20200302.X-A0247_R1.fastq.gz	MOS_024_z	MOS2.4	MOS_	20200302.X-MOS_024_z_R1.fastq.gz
A0246	20200302.X-A0246_R2.fastq.gz	MOS_023_z	MOS2.3	MOS_	20200302.X-MOS_023_z_R2.fastq.gz
A0246	20200302.X-A0246_R1.fastq.gz	MOS_023_z	MOS2.3	MOS_	20200302.X-MOS_023_z_R1.fastq.gz
A0240	20200302.X-A0240_R2.fastq.gz	MOS_012_z	MOS1.2	MOS_	20200302.X-MOS_012_z_R2.fastq.gz
A0240	20200302.X-A0240_R1.fastq.gz	MOS_012_z	MOS1.2	MOS_	20200302.X-MOS_012_z_R1.fastq.gz
A0239	20200302.X-A0239_R2.fastq.gz	MOS_011_z	MOS1.1	MOS_	20200302.X-MOS_011_z_R2.fastq.gz
A0239	20200302.X-A0239_R1.fastq.gz	MOS_011_z	MOS1.1	MOS_	20200302.X-MOS_011_z_R1.fastq.gz
A0238	20200302.X-A0238_R2.fastq.gz	ZGG_013_z	ZG13	ZGG_	20200302.X-ZGG_013_z_R2.fastq.gz
A0238	20200302.X-A0238_R1.fastq.gz	ZGG_013_z	ZG13	ZGG_	20200302.X-ZGG_013_z_R1.fastq.gz
A0237	20200302.X-A0237_R2.fastq.gz	ZGG_012_z	ZG12	ZGG_	20200302.X-ZGG_012_z_R2.fastq.gz
A0237	20200302.X-A0237_R1.fastq.gz	ZGG_012_z	ZG12	ZGG_	20200302.X-ZGG_012_z_R1.fastq.gz
A0236	20200302.X-A0236_R2.fastq.gz	ZGG_011_z	ZG11	ZGG_	20200302.X-ZGG_011_z_R2.fastq.gz
A0236	20200302.X-A0236_R1.fastq.gz	ZGG_011_z	ZG11	ZGG_	20200302.X-ZGG_011_z_R1.fastq.gz
A0234	20200302.X-A0234_R2.fastq.gz	ZGG_009_z	ZG9	ZGG_	20200302.X-ZGG_009_z_R2.fastq.gz
A0234	20200302.X-A0234_R1.fastq.gz	ZGG_009_z	ZG9	ZGG_	20200302.X-ZGG_009_z_R1.fastq.gz
A0232	20200302.X-A0232_R2.fastq.gz	ZGG_007_z	ZG7	ZGG_	20200302.X-ZGG_007_z_R2.fastq.gz
A0232	20200302.X-A0232_R1.fastq.gz	ZGG_007_z	ZG7	ZGG_	20200302.X-ZGG_007_z_R1.fastq.gz
A0231	20200302.X-A0231_R2.fastq.gz	ZGG_006_z	ZG6	ZGG_	20200302.X-ZGG_006_z_R2.fastq.gz
A0231	20200302.X-A0231_R1.fastq.gz	ZGG_006_z	ZG6	ZGG_	20200302.X-ZGG_006_z_R1.fastq.gz
A0229	20200302.X-A0229_R2.fastq.gz	ZGG_004_z	ZG4	ZGG_	20200302.X-ZGG_004_z_R2.fastq.gz
A0229	20200302.X-A0229_R1.fastq.gz	ZGG_004_z	ZG4	ZGG_	20200302.X-ZGG_004_z_R1.fastq.gz
A0227	20200302.X-A0227_R2.fastq.gz	ZGG_002_z	ZG2	ZGG_	20200302.X-ZGG_002_z_R2.fastq.gz
A0227	20200302.X-A0227_R1.fastq.gz	ZGG_002_z	ZG2	ZGG_	20200302.X-ZGG_002_z_R1.fastq.gz
A0226	20200302.X-A0226_R2.fastq.gz	ZGG_001_z	ZG1	ZGG_	20200302.X-ZGG_001_z_R2.fastq.gz
A0226	20200302.X-A0226_R1.fastq.gz	ZGG_001_z	ZG1	ZGG_	20200302.X-ZGG_001_z_R1.fastq.gz
A0220	20200302.X-A0220_R2.fastq.gz	SZI_026_z	SZ26	SZI_	20200302.X-SZI_026_z_R2.fastq.gz
A0220	20200302.X-A0220_R1.fastq.gz	SZI_026_z	SZ26	SZI_	20200302.X-SZI_026_z_R1.fastq.gz
A0219	20200302.X-A0219_R2.fastq.gz	SZI_024_z	SZ24	SZI_	20200302.X-SZI_024_z_R2.fastq.gz
A0219	20200302.X-A0219_R1.fastq.gz	SZI_024_z	SZ24	SZI_	20200302.X-SZI_024_z_R1.fastq.gz
A0216	20200302.X-A0216_R2.fastq.gz	SZI_021_z	SZ21	SZI_	20200302.X-SZI_021_z_R2.fastq.gz
A0216	20200302.X-A0216_R1.fastq.gz	SZI_021_z	SZ21	SZI_	20200302.X-SZI_021_z_R1.fastq.gz
A0207	20200302.X-A0207_R2.fastq.gz	SZI_013_z	SZ13	SZI_	20200302.X-SZI_013_z_R2.fastq.gz
A0207	20200302.X-A0207_R1.fastq.gz	SZI_013_z	SZ13	SZI_	20200302.X-SZI_013_z_R1.fastq.gz
A0206	20200302.X-A0206_R2.fastq.gz	SZI_012_z	SZ12	SZI_	20200302.X-SZI_012_z_R2.fastq.gz
A0206	20200302.X-A0206_R1.fastq.gz	SZI_012_z	SZ12	SZI_	20200302.X-SZI_012_z_R1.fastq.gz
A0205	20200302.X-A0205_R2.fastq.gz	SZI_011_z	SZ11	SZI_	20200302.X-SZI_011_z_R2.fastq.gz
A0205	20200302.X-A0205_R1.fastq.gz	SZI_011_z	SZ11	SZI_	20200302.X-SZI_011_z_R1.fastq.gz
A0204	20200302.X-A0204_R2.fastq.gz	KZL_005_z	KZ5	KLZ_	20200302.X-KZL_005_z_R2.fastq.gz
A0204	20200302.X-A0204_R1.fastq.gz	KZL_005_z	KZ5	KLZ_	20200302.X-KZL_005_z_R1.fastq.gz
A0203	20200302.X-A0203_R2.fastq.gz	KZL_012_z	KZ12	KLZ_	20200302.X-KZL_012_z_R2.fastq.gz
A0203	20200302.X-A0203_R1.fastq.gz	KZL_012_z	KZ12	KLZ_	20200302.X-KZL_012_z_R1.fastq.gz
A0200	20200302.X-A0200_R2.fastq.gz	SZI_005_z	SZ5	SZI_	20200302.X-SZI_005_z_R2.fastq.gz
A0200	20200302.X-A0200_R1.fastq.gz	SZI_005_z	SZ5	SZI_	20200302.X-SZI_005_z_R1.fastq.gz
A0189	20200302.X-A0189_R2.fastq.gz	KZL_014_z	KZ14	KLZ_	20200302.X-KZL_014_z_R2.fastq.gz
A0189	20200302.X-A0189_R1.fastq.gz	KZL_014_z	KZ14	KLZ_	20200302.X-KZL_014_z_R1.fastq.gz
A0185	20200302.X-A0185_R2.fastq.gz	KZL_010_z	KZ10	KLZ_	20200302.X-KZL_010_z_R2.fastq.gz
A0185	20200302.X-A0185_R1.fastq.gz	KZL_010_z	KZ10	KLZ_	20200302.X-KZL_010_z_R1.fastq.gz
A0183	20200302.X-A0183_R2.fastq.gz	KZL_007_z	KZ7	KLZ_	20200302.X-KZL_007_z_R2.fastq.gz
A0183	20200302.X-A0183_R1.fastq.gz	KZL_007_z	KZ7	KLZ_	20200302.X-KZL_007_z_R1.fastq.gz
